EXAM CD|ELG PRD|PRT NO|MEMBER NO|MEMBER TYP|P/F/V/B|APP CAT|FEES|ELECT SUB|MED_CD|REMARK|SUB CD|
1006|826|1|500035520|NM|F|S1|-1||||147|
1006|826|1|500035715|NM|F|S1|-1||||147|
1006|826|1|500036477|NM|F|S1|-1||||147|
1006|826|1|500037361|NM|F|S1|-1||||147|
1006|826|1|500037439|NM|F|S1|-1||||147|
1006|826|1|500037574|NM|F|S1|-1||||147|
1006|826|1|500039098|NM|F|S1|-1||||147|
1006|826|1|500040648|NM|F|S1|-1||||147|
1006|826|1|500040958|NM|F|S1|-1||||147|
1006|826|1|500041512|NM|F|S1|-1||||147|
1006|826|1|500042385|NM|F|S1|-1||||147|
1006|826|1|500045035|NM|F|S1|-1||||147|
1006|826|1|500047280|NM|F|S1|-1||||147|
1006|826|1|500047646|NM|F|S1|-1||||147|
1006|826|1|500048336|NM|F|S1|-1||||147|
1006|826|1|500048528|NM|F|S1|-1||||147|
1006|826|1|500051172|NM|F|S1|-1||||147|
1006|826|1|500053758|NM|F|S1|-1||||147|
1006|826|1|500055134|NM|F|S1|-1||||147|
1006|826|1|500055656|NM|F|S1|-1||||147|
1006|826|1|500056695|NM|F|S1|-1||||147|
1006|826|1|500059577|NM|F|S1|-1||||147|
1006|826|1|500059919|NM|F|S1|-1||||147|
1006|826|1|500061194|NM|F|S1|-1||||147|
1006|826|1|500063211|NM|F|S1|-1||||147|
1006|826|1|500065261|NM|F|S1|-1||||147|
1006|826|1|500068340|NM|F|S1|-1||||147|
1006|826|1|500070368|NM|F|S1|-1||||147|
1006|826|1|500072862|NM|F|S1|-1||||147|
1006|826|1|500077726|NM|F|S1|-1||||147|
1006|826|1|500077864|O|F|S1|-1||||147|
1006|826|1|500080300|NM|F|S1|-1||||147|
1006|826|1|500082060|NM|F|S1|-1||||147|
1006|826|1|500082656|NM|F|S1|-1||||147|
1006|826|1|500084309|NM|F|S1|-1||||147|
1006|826|1|500084394|NM|F|S1|-1||||147|
1006|826|1|500087257|NM|F|S1|-1||||147|
1006|826|1|500093004|NM|F|S1|-1||||147|
1006|826|1|500095965|NM|F|S1|-1||||147|
1006|826|1|500096807|NM|F|S1|-1||||147|
1006|826|1|500097073|NM|F|S1|-1||||147|
1006|826|1|500100744|NM|F|S1|-1||||147|
1006|826|1|500100925|NM|F|S1|-1||||147|
1006|826|1|500102455|NM|F|S1|-1||||147|
1006|826|1|500104164|NM|F|S1|-1||||147|
1006|826|1|500108806|NM|F|S1|-1||||147|
1006|826|1|500109587|NM|F|S1|-1||||147|
1006|826|1|500110147|NM|F|S1|-1||||147|
1006|826|1|500111443|NM|F|S1|-1||||147|
1006|826|1|500112363|NM|F|S1|-1||||147|
1006|826|1|500116771|NM|F|S1|-1||||147|
1006|826|1|500117704|NM|F|S1|-1||||147|
1006|826|1|500117855|NM|F|S1|-1||||147|
1006|826|1|500119947|NM|F|S1|-1||||147|
1006|826|1|500120339|NM|F|S1|-1||||147|
1006|826|1|500120843|NM|F|S1|-1||||147|
1006|826|1|500121666|NM|F|S1|-1||||147|
1006|826|1|500123149|NM|F|S1|-1||||147|
1006|826|1|500128686|NM|F|S1|-1||||147|
1006|826|1|500129778|NM|F|S1|-1||||147|
1006|826|1|500130167|NM|F|S1|-1||||147|
1006|826|1|500132455|NM|F|S1|-1||||147|
1006|826|1|500133228|NM|F|S1|-1||||147|
1006|826|1|500133254|NM|F|S1|-1||||147|
1006|826|1|500134678|NM|F|S1|-1||||147|
1006|826|1|500137389|NM|F|S1|-1||||147|
1006|826|1|500137665|NM|F|S1|-1||||147|
1006|826|1|500139993|NM|F|S1|-1||||147|
1006|826|1|500142641|NM|F|S1|-1||||147|
1006|826|1|500148110|NM|F|S1|-1||||147|
1006|826|1|500153413|NM|F|S1|-1||||147|
1006|826|1|500157631|NM|F|S1|-1||||147|
1006|826|1|500160133|NM|F|S1|-1||||147|
1006|826|1|500164619|NM|F|S1|-1||||147|
1006|826|1|500165548|NM|F|S1|-1||||147|
1006|826|1|500165941|NM|F|S1|-1||||147|
1006|826|1|500166133|NM|F|S1|-1||||147|
1006|826|1|500166379|NM|F|S1|-1||||147|
