EXAM CD|ELG PRD|PRT NO|MEMBER NO|MEMBER TYP|P/F/V/B|APP CAT|FEES|ELECT SUB|MED_CD|REMARK|SUB CD|INSTITUTE CODE|
1051|825|1|500166275|O|P||-1|||You have already passed this exam||140|
1051|825|1|500166399|O|P||-1|||You have already passed this exam||140|
1051|825|1|500166400|O|P||-1|||You have already passed this exam||140|
1051|825|1|500166516|O|P||-1|||You have already passed this exam||140|
1051|825|1|500166576|O|P||-1|||You have already passed this exam||140|
1051|825|1|500166607|O|P||-1|||You have already passed this exam||140|
1051|825|1|500166631|O|P||-1|||You have already passed this exam||140|
1051|825|1|500166949|O|P||-1|||You have already passed this exam||140|
1051|825|1|500166979|O|P||-1|||You have already passed this exam||140|
1051|825|1|500167427|O|P||-1|||You have already passed this exam||140|
1051|825|1|500167497|O|P||-1|||You have already passed this exam||140|
1051|825|1|500167826|O|P||-1|||You have already passed this exam||140|
1051|825|1|500167957|O|P||-1|||You have already passed this exam||140|
1051|825|1|500168634|O|P||-1|||You have already passed this exam||140|
1051|825|1|500169233|O|P||-1|||You have already passed this exam||140|
1051|825|1|500170593|O|P||-1|||You have already passed this exam||140|
1051|825|1|500170691|O|P||-1|||You have already passed this exam||140|
1051|825|1|500170800|O|P||-1|||You have already passed this exam||140|
1051|825|1|500170949|O|P||-1|||You have already passed this exam||140|
1051|825|1|500171231|O|P||-1|||You have already passed this exam||140|
1051|825|1|500171378|O|P||-1|||You have already passed this exam||140|
1051|825|1|500174463|O|P||-1|||You have already passed this exam||140|
1051|825|1|500174626|O|P||-1|||You have already passed this exam||140|
1051|825|1|500175255|O|P||-1|||You have already passed this exam||140|
1051|825|1|500175394|O|P||-1|||You have already passed this exam||140|
1051|825|1|500175449|O|P||-1|||You have already passed this exam||140|
1051|825|1|500175592|O|P||-1|||You have already passed this exam||140|
1051|825|1|500175595|O|P||-1|||You have already passed this exam||140|
1051|825|1|500177142|O|P||-1|||You have already passed this exam||140|
1051|825|1|500177232|O|P||-1|||You have already passed this exam||140|
1051|825|1|500177250|O|P||-1|||You have already passed this exam||140|
1051|825|1|500177283|O|P||-1|||You have already passed this exam||140|
1051|825|1|500177338|O|P||-1|||You have already passed this exam||140|
1051|825|1|500177357|O|P||-1|||You have already passed this exam||140|
1051|825|1|500177395|O|P||-1|||You have already passed this exam||140|
1051|825|1|500177610|O|P||-1|||You have already passed this exam||140|
1051|825|1|500177731|O|P||-1|||You have already passed this exam||140|
1051|825|1|500178003|O|P||-1|||You have already passed this exam||140|
1051|825|1|500178571|O|P||-1|||You have already passed this exam||140|
1051|825|1|500179007|O|P||-1|||You have already passed this exam||140|
1051|825|1|500179332|O|P||-1|||You have already passed this exam||140|
1051|825|1|500179822|O|P||-1|||You have already passed this exam||140|
1051|825|1|500179990|O|P||-1|||You have already passed this exam||140|
1051|825|1|500180114|O|P||-1|||You have already passed this exam||140|
1051|825|1|500180204|O|P||-1|||You have already passed this exam||140|
1051|825|1|500180340|O|P||-1|||You have already passed this exam||140|
1051|825|1|500180361|O|P||-1|||You have already passed this exam||140|
1051|825|1|500180597|O|P||-1|||You have already passed this exam||140|
1051|825|1|500180616|O|P||-1|||You have already passed this exam||140|
1051|825|1|500180740|O|P||-1|||You have already passed this exam||140|
1051|825|1|500180743|O|P||-1|||You have already passed this exam||140|
1051|825|1|500180845|O|P||-1|||You have already passed this exam||140|
1051|825|1|500181180|O|P||-1|||You have already passed this exam||140|
1051|825|1|500181634|O|P||-1|||You have already passed this exam||140|
1051|825|1|500181711|O|P||-1|||You have already passed this exam||140|
1051|825|1|500182360|O|P||-1|||You have already passed this exam||140|
1051|825|1|500182656|O|P||-1|||You have already passed this exam||140|
1051|825|1|500182883|O|P||-1|||You have already passed this exam||140|
1051|825|1|500183844|O|P||-1|||You have already passed this exam||140|
1051|825|1|500184126|O|P||-1|||You have already passed this exam||140|
1051|825|1|500184404|O|P||-1|||You have already passed this exam||140|
1051|825|1|500184557|O|P||-1|||You have already passed this exam||140|
1051|825|1|500185236|O|P||-1|||You have already passed this exam||140|
1051|825|1|500185480|O|P||-1|||You have already passed this exam||140|
1051|825|1|500185796|O|P||-1|||You have already passed this exam||140|
1051|825|1|500186249|O|P||-1|||You have already passed this exam||140|
1051|825|1|500186371|O|P||-1|||You have already passed this exam||140|
1051|825|1|500186552|O|P||-1|||You have already passed this exam||140|
1051|825|1|500186637|O|P||-1|||You have already passed this exam||140|
1051|825|1|500186929|O|P||-1|||You have already passed this exam||140|
1051|825|1|500187167|O|P||-1|||You have already passed this exam||140|
1051|825|1|500187298|O|P||-1|||You have already passed this exam||140|
1051|825|1|500187489|O|P||-1|||You have already passed this exam||140|
1051|825|1|500187591|O|P||-1|||You have already passed this exam||140|
1051|825|1|500187642|O|P||-1|||You have already passed this exam||140|
1051|825|1|500187873|O|P||-1|||You have already passed this exam||140|
1051|825|1|500188054|O|P||-1|||You have already passed this exam||140|
1051|825|1|500188059|O|P||-1|||You have already passed this exam||140|
1051|825|1|500188156|O|P||-1|||You have already passed this exam||140|
1051|825|1|500188238|O|P||-1|||You have already passed this exam||140|
1051|825|1|500188399|O|P||-1|||You have already passed this exam||140|
1051|825|1|500188485|O|P||-1|||You have already passed this exam||140|
1051|825|1|500188816|O|P||-1|||You have already passed this exam||140|
1051|825|1|500189013|O|P||-1|||You have already passed this exam||140|
1051|825|1|500189018|O|P||-1|||You have already passed this exam||140|
1051|825|1|500189036|O|P||-1|||You have already passed this exam||140|
1051|825|1|500189814|O|P||-1|||You have already passed this exam||140|
1051|825|1|500190024|O|P||-1|||You have already passed this exam||140|
1051|825|1|500190238|O|P||-1|||You have already passed this exam||140|
1051|825|1|500190306|O|P||-1|||You have already passed this exam||140|
1051|825|1|500190813|O|P||-1|||You have already passed this exam||140|
1051|825|1|500190823|O|P||-1|||You have already passed this exam||140|
1051|825|1|500191013|O|P||-1|||You have already passed this exam||140|
1051|825|1|500191044|O|P||-1|||You have already passed this exam||140|
1051|825|1|500191472|O|P||-1|||You have already passed this exam||140|
1051|825|1|500191601|O|P||-1|||You have already passed this exam||140|
1051|825|1|500191832|O|P||-1|||You have already passed this exam||140|
1051|825|1|500191861|O|P||-1|||You have already passed this exam||140|
1051|825|1|500192390|O|P||-1|||You have already passed this exam||140|
1051|825|1|500192607|O|P||-1|||You have already passed this exam||140|
1051|825|1|500192686|O|P||-1|||You have already passed this exam||140|
1051|825|1|500192791|O|P||-1|||You have already passed this exam||140|
1051|825|1|500192957|O|P||-1|||You have already passed this exam||140|
1051|825|1|500193003|O|P||-1|||You have already passed this exam||140|
1051|825|1|500193026|O|P||-1|||You have already passed this exam||140|
1051|825|1|500193355|O|P||-1|||You have already passed this exam||140|
1051|825|1|500193566|O|P||-1|||You have already passed this exam||140|
1051|825|1|500193568|O|P||-1|||You have already passed this exam||140|
1051|825|1|500193579|O|P||-1|||You have already passed this exam||140|
1051|825|1|500193631|O|P||-1|||You have already passed this exam||140|
1051|825|1|500193638|O|P||-1|||You have already passed this exam||140|
1051|825|1|500193644|O|P||-1|||You have already passed this exam||140|
1051|825|1|500193761|O|P||-1|||You have already passed this exam||140|
1051|825|1|500193770|O|P||-1|||You have already passed this exam||140|
1051|825|1|500194635|O|P||-1|||You have already passed this exam||140|
1051|825|1|500194709|O|P||-1|||You have already passed this exam||140|
1051|825|1|500194796|O|P||-1|||You have already passed this exam||140|
1051|825|1|500194882|O|P||-1|||You have already passed this exam||140|
1051|825|1|500196343|O|P||-1|||You have already passed this exam||140|
1051|825|1|500196478|O|P||-1|||You have already passed this exam||140|
1051|825|1|500196575|O|P||-1|||You have already passed this exam||140|
1051|825|1|500196649|O|P||-1|||You have already passed this exam||140|
1051|825|1|500196858|O|P||-1|||You have already passed this exam||140|
1051|825|1|500197130|O|P||-1|||You have already passed this exam||140|
1051|825|1|500198271|O|P||-1|||You have already passed this exam||140|
1051|825|1|500198321|O|P||-1|||You have already passed this exam||140|
1051|825|1|500199106|O|P||-1|||You have already passed this exam||140|
1051|825|1|500199112|O|P||-1|||You have already passed this exam||140|
1051|825|1|500199156|O|P||-1|||You have already passed this exam||140|
1051|825|1|500200225|O|P||-1|||You have already passed this exam||140|
1051|825|1|500200540|O|P||-1|||You have already passed this exam||140|
1051|825|1|500200657|O|P||-1|||You have already passed this exam||140|
1051|825|1|500202411|O|P||-1|||You have already passed this exam||140|
1051|825|1|500202811|O|P||-1|||You have already passed this exam||140|
1051|825|1|500203251|O|P||-1|||You have already passed this exam||140|
1051|825|1|500203322|O|P||-1|||You have already passed this exam||140|
1051|825|1|500204022|O|P||-1|||You have already passed this exam||140|
1051|825|1|500205794|O|P||-1|||You have already passed this exam||140|
1051|825|1|500205884|O|P||-1|||You have already passed this exam||140|
1051|825|1|500205939|O|P||-1|||You have already passed this exam||140|
1051|825|1|500206669|O|P||-1|||You have already passed this exam||140|
1051|825|1|500208428|O|P||-1|||You have already passed this exam||140|
1051|825|1|500210544|O|P||-1|||You have already passed this exam||140|
1051|825|1|500211222|O|P||-1|||You have already passed this exam||140|
1051|825|1|500211482|O|P||-1|||You have already passed this exam||140|
1051|825|1|500211651|O|P||-1|||You have already passed this exam||140|
