EXAM CD|ELG PRD|PRT NO|MEMBER NO|MEMBER TYP|P/F/V/B|APP CAT|FEES|ELECT SUB|MED_CD|REMARK|SUB CD|
508|123|1|500201716|O|P||-1|||You have already passed this exam||
508|123|1|500201968|O|P||-1|||You have already passed this exam||
508|123|1|500202258|O|P||-1|||You have already passed this exam||
508|123|1|500202452|O|P||-1|||You have already passed this exam||
508|123|1|500203253|O|P||-1|||You have already passed this exam||
508|123|1|500203402|O|P||-1|||You have already passed this exam||
508|123|1|500203914|O|P||-1|||You have already passed this exam||
508|123|1|500204495|O|P||-1|||You have already passed this exam||
508|123|1|500205129|O|P||-1|||You have already passed this exam||
508|123|1|500205544|O|P||-1|||You have already passed this exam||
508|123|1|500205756|O|P||-1|||You have already passed this exam||
508|123|1|500207521|O|P||-1|||You have already passed this exam||
508|123|1|500210190|O|P||-1|||You have already passed this exam||
508|123|1|500211317|O|P||-1|||You have already passed this exam||
508|123|1|500211990|O|P||-1|||You have already passed this exam||
508|123|1|500213427|O|P||-1|||You have already passed this exam||
508|123|1|500214198|O|P||-1|||You have already passed this exam||
508|123|1|500214488|O|P||-1|||You have already passed this exam||
508|123|1|500214681|O|P||-1|||You have already passed this exam||
508|123|1|5078900|O|P||-1|||You have already passed this exam||
508|123|1|510001277|O|P||-1|||You have already passed this exam||
508|123|1|510001406|O|P||-1|||You have already passed this exam||
508|123|1|510001448|O|P||-1|||You have already passed this exam||
508|123|1|510003902|O|P||-1|||You have already passed this exam||
508|123|1|510004023|O|P||-1|||You have already passed this exam||
508|123|1|510004466|O|P||-1|||You have already passed this exam||
508|123|1|510004846|O|P||-1|||You have already passed this exam||
508|123|1|510005721|O|P||-1|||You have already passed this exam||
508|123|1|510007195|O|P||-1|||You have already passed this exam||
508|123|1|510008429|O|P||-1|||You have already passed this exam||
508|123|1|510012115|O|P||-1|||You have already passed this exam||
508|123|1|510012196|O|P||-1|||You have already passed this exam||
508|123|1|510012877|O|P||-1|||You have already passed this exam||
508|123|1|510012947|O|P||-1|||You have already passed this exam||
508|123|1|510012968|O|P||-1|||You have already passed this exam||
508|123|1|510013670|O|P||-1|||You have already passed this exam||
508|123|1|510014106|O|P||-1|||You have already passed this exam||
508|123|1|510014247|O|P||-1|||You have already passed this exam||
508|123|1|510014704|O|P||-1|||You have already passed this exam||
508|123|1|510014801|O|P||-1|||You have already passed this exam||
